data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,5,154484659,7.000,3,13562529
2022,5,154484597,0.940,1,13562518
2022,4,154484732,1.000,1,13562542
2022,12,154484732,4.000,1,13562543
2022,5,154484652,0.100,1,13562525
2022,5,154484668,3.910,1,13562532
2022,4,154484735,0.001,1,13562544
2022,5,154484719,28.700,1,13562539
2022,12,154484771,0.060,1,13562550
2022,12,154484696,0.500,1,13562538
2022,4,154484822,0.100,1,13562558
2022,8,154484822,2.000,9,13562559
2022,4,154484819,0.210,1,13562556
2022,12,154484819,2.170,1,13562557
2022,12,154484954,0.730,1,13562597
2022,8,154484876,5.000,9,13562570
2022,12,154484877,0.270,1,13562571
2022,5,154484964,3.610,1,13562602
2022,12,154484964,1.140,1,13562603
2022,12,154485022,0.500,1,13562616
2022,4,154484928,1.850,1,13562584
2022,8,154484928,1.000,9,13562585
2022,12,154484928,1.850,1,13562586
2022,12,154485023,2.200,1,13562617
2022,12,154484972,19.600,1,13562606
2022,5,155785892,1.000,3,13756720
2022,5,155785988,0.200,1,13756736
2022,11,155785988,3.200,1,13756737
2022,5,155786004,2.170,1,13756742
2022,8,155786004,4.000,9,13756743
2022,5,155785922,13.800,1,13756723
2022,8,155785954,4.000,9,13756729
2022,12,160531017,3.500,1,14410493
2022,12,155786019,0.660,1,13756745
2022,12,155786061,1.000,1,13756755
2022,5,155786032,1.000,1,13756747
2022,12,155786032,1.000,1,13756748
2022,8,155786172,2.000,9,13756777
2022,5,155786233,1.000,1,13756807
2022,4,155786113,0.400,1,13756764
2022,12,155786249,0.007,1,13756810
2022,5,155786316,9.000,1,13756828
2022,12,155786316,0.001,1,13756829
2022,12,155786127,0.001,1,13756766
2022,4,155786220,0.860,1,13756797
2022,12,155786220,1.080,1,13756798
2022,5,155786171,2.000,1,13756776
2022,5,156673231,0.001,1,13872915
2022,4,155786227,0.600,1,13756803
2022,5,156673158,7.000,1,13872900
2022,8,156673174,2.000,9,13872904
2022,12,156673174,1.070,1,13872905
2022,5,157588030,2.400,1,14009211
2022,5,156673222,10.500,1,13872912
2022,12,156673204,0.810,1,13872910
2022,8,156673289,1.000,9,13872926
2022,12,156673225,0.710,1,13872913
2022,5,157587898,0.100,1,14009187
2022,5,157587808,3.180,1,14009170
2022,8,157587994,20.000,9,14009207
2022,5,157587858,7.000,1,14009178
2022,5,157587927,3.740,1,14009193
2022,12,157587927,1.000,1,14009194
2022,5,160531130,2.400,1,14410527
2022,5,157588086,0.260,1,14009221
2022,8,157588086,3.500,9,14009222
2022,12,157588086,0.500,1,14009223
2022,5,157588093,14.100,1,14009224
2022,5,157588178,0.001,3,14009236
2022,5,157588077,6.160,1,14009217
2022,5,157588135,3.400,1,14009231
2022,12,157588267,0.001,1,14009256
2022,8,157588205,3.060,1,14009243
2022,5,160531196,24.000,1,14410545
2022,5,160531231,2.300,1,14410549
2022,12,160531236,0.500,1,14410550
2022,4,160531243,0.280,1,14410553
2022,8,160531243,31.000,9,14410554
2022,5,160531256,0.001,1,14410558
2022,4,160531324,15.700,1,14410578
2022,12,160531324,26.900,1,14410579
2022,5,163301100,0.001,1,14770279
