data_year,criminal_act_id,offense_id
2022,8,186809602
2022,6,186809640
2022,6,186809641
2022,8,186809641
2022,6,186809769
2022,8,186809769
2022,6,186809770
2022,8,186809770
2022,6,186809895
2022,8,186809895
2022,6,186809896
2022,8,186809896
2022,6,186809952
2022,6,186809953
2022,6,186809954
2022,6,186809995
2022,8,186809995
2022,6,186809996
2022,8,186809996
2022,6,186809827
2022,6,186809828
2022,3,186809903
2022,6,186809903
2022,8,186809903
2022,3,186809904
2022,6,186809904
2022,8,186809904
2022,3,186810111
2022,6,186810111
2022,8,186810111
2022,3,186810112
2022,6,186810112
2022,8,186810112
2022,8,186809944
2022,6,186810021
2022,8,186810021
2022,6,186810022
2022,8,186810022
2022,6,186810048
2022,6,186809956
2022,6,186809957
2022,6,186810004
2022,8,186810004
2022,6,186810005
2022,8,186810005
2022,6,186810054
2022,8,186810054
2022,6,186810055
2022,8,186810055
2022,6,186810123
2022,8,186810123
2022,6,186810124
2022,8,186810124
2022,8,186809969
2022,6,186810079
2022,8,186810079
2022,6,186810080
2022,8,186810080
2022,6,186810233
2022,8,186810233
2022,6,186810234
2022,6,186809993
2022,8,186809993
2022,6,186809994
2022,8,186809994
2022,6,186810265
2022,6,186810167
2022,8,186810167
2022,6,186810168
2022,8,186810168
2022,6,186810227
2022,8,186810227
2022,6,186810321
2022,8,186810321
2022,6,186810322
2022,8,186810322
2022,6,186810326
2022,6,186810290
2022,6,186810230
2022,8,186810230
2022,6,186810231
2022,8,186810231
2022,6,186810406
2022,6,186810441
2022,6,186810442
2022,6,186810443
2022,6,188540721
2022,8,188540721
2022,6,186810306
2022,8,186810306
2022,6,186810455
2022,6,186810334
2022,8,186810334
2022,6,186810335
2022,6,186810445
2022,6,186810446
2022,8,186810446
2022,6,186810413
2022,8,186810413
2022,6,186810414
2022,3,186810421
2022,6,186810421
2022,8,186810421
2022,3,186810422
2022,6,186810422
2022,8,186810422
2022,6,186810423
2022,6,186810504
2022,8,186810504
2022,6,186810505
2022,6,186810385
2022,6,186810386
2022,6,186810581
2022,8,186810581
2022,6,186810582
2022,8,186810582
2022,3,186810575
2022,6,186810575
2022,8,186810575
2022,3,186810576
2022,6,186810576
2022,6,186810577
2022,6,186810645
2022,6,186810798
2022,8,186810798
2022,6,186810799
2022,8,186810799
2022,8,186810839
2022,6,186810941
2022,8,186810941
2022,6,186810672
2022,6,186810797
2022,6,186810674
2022,8,186810674
2022,6,186810682
2022,8,186810682
2022,6,186810812
2022,8,186810812
2022,6,186810814
2022,8,186810814
2022,6,186810900
2022,8,186810900
2022,6,186810907
2022,8,186810907
2022,6,186810754
2022,8,186810754
2022,6,186810755
2022,8,186810755
2022,6,186810865
2022,8,186810865
2022,6,186810904
2022,8,186810904
2022,6,186810905
2022,8,186810905
2022,6,186810906
2022,6,186810827
2022,6,186810828
2022,6,188540649
2022,6,188540650
2022,6,188540794
2022,8,188540794
2022,6,188540795
2022,6,188540821
2022,6,188540822
2022,6,188540664
2022,6,188540691
2022,6,188540692
2022,6,188540717
2022,8,188540717
2022,6,188540802
2022,6,188540739
2022,8,188540739
2022,6,188540740
2022,8,188540740
2022,6,188540823
2022,6,194832295
2022,6,194832296
2022,6,188540969
2022,6,188540841
2022,6,188540842
2022,6,188540909
2022,6,188540910
2022,6,188540942
2022,8,188540942
2022,6,188540865
2022,6,188540866
2022,6,188540955
2022,6,188541069
2022,6,188541070
2022,6,188541165
2022,8,188541165
2022,6,188541166
2022,8,188541166
2022,6,188540989
2022,6,188540984
2022,6,188540985
2022,8,188540985
2022,6,188541189
2022,8,188541189
2022,6,188541203
2022,8,188541203
2022,6,188541205
2022,3,188541302
2022,6,188541302
2022,8,188541302
2022,3,188541303
2022,6,188541303
2022,8,188541303
2022,3,188541304
2022,6,188541304
2022,8,188541304
2022,6,188541003
2022,8,188541003
2022,6,188541004
2022,1,188541144
2022,6,188541144
2022,6,188541145
2022,6,189722054
2022,8,189722054
2022,6,188541067
2022,8,188541067
2022,6,188541068
2022,6,189722270
2022,6,189722271
2022,6,188541154
2022,8,188541154
2022,6,188541155
2022,6,189722161
2022,6,189722162
2022,8,189722190
2022,6,189722178
2022,6,189722179
2022,6,190928266
2022,8,190928266
2022,6,190928267
2022,8,190928267
2022,6,189722288
2022,8,189722288
2022,6,189722250
2022,8,189722250
2022,6,189722251
2022,8,189722251
2022,6,189722230
2022,6,189722231
2022,6,189722346
2022,6,189722367
2022,6,189722368
2022,6,189722257
2022,8,189722257
2022,6,189722258
2022,8,189722408
2022,6,190928083
2022,6,190928084
2022,6,190927939
2022,8,190927939
2022,6,190927940
2022,8,190928163
2022,6,190928215
2022,6,190928216
2022,6,190927935
2022,6,190928019
2022,8,190928019
2022,6,190928020
2022,8,190928020
2022,6,190928120
2022,8,190928120
2022,6,190928121
2022,8,190928121
2022,6,190928197
2022,6,194832454
2022,8,194832454
2022,6,194832455
2022,8,194832455
2022,6,190928342
2022,8,190928342
2022,3,190928343
2022,6,190928343
2022,8,190928343
2022,6,190928358
2022,8,190928358
2022,6,190928360
2022,6,190928468
2022,6,190928469
2022,6,190928332
2022,8,190928332
2022,6,190928333
2022,8,190928333
2022,6,190928348
2022,6,190928413
2022,6,190928414
2022,6,190928574
2022,8,190928574
2022,6,190928575
2022,8,190928335
2022,6,190928502
2022,8,190928502
2022,3,194832548
2022,6,194832548
2022,6,194832549
2022,6,194832550
2022,6,194832595
2022,8,194832595
2022,6,194832600
2022,6,194832611
2022,8,194832611
2022,6,194832612
2022,8,194832612
2022,6,194832624
2022,8,194832624
2022,6,194832625
2022,8,194832625
2022,3,194832723
2022,6,194832723
2022,6,194832724
2022,8,194832724
2022,6,194832733
2022,6,198525652
2022,6,198525653
2022,6,194832778
2022,6,194832779
