yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
186662022,18666,2022,TN0800300,TN0800300,,N,N,,I,GORDONSVILLE,GORDONSVILLE PD,Gordonsville,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,1385,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,1,1,3.6,4.3,1996-07-01,2000-01-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SMITH,"Nashville-Davidson--Murfreesboro--Franklin, TN",Y,Y,Y
186672022,18667,2022,TN0810000,TN0810000,,N,N,,I,STEWART,STEWART CO SO DOVER,Stewart,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,County,11985,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,22,15,37,2,16,18,2.0,4.6,1996-07-01,1997-11-01,2004-06-01,2013-01-01,2015-06-01,2013-05-01,N,STEWART,"Clarksville, TN-KY",Y,Y,Y
186682022,18668,2022,TN0810200,TN0810200,,N,N,,I,CUMBERLAND CITY,CUMBERLAND CITY PD CUMBERLAND CITY,Cumberland City,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,315,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,6.3,6.3,1996-07-01,2000-08-01,2004-06-01,2013-01-01,2015-08-01,2013-04-01,N,STEWART,"Clarksville, TN-KY",Y,Y,Y
186692022,18669,2022,TN0810300,TN0810300,,N,N,,I,DOVER,DOVER PD DOVER,Dover,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,1768,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,0,6,1,0,1,4.0,4.0,1996-07-01,1999-09-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,STEWART,"Clarksville, TN-KY",Y,Y,Y
186702022,18670,2022,TN0820000,TN0820000,,N,N,,I,SULLIVAN,SULLIVAN CO SO BLOUNTVILLE,Sullivan,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,County,77295,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,118,110,228,14,61,75,1.7,3.9,1996-07-01,1999-02-01,2004-06-01,2013-01-01,2015-06-01,2013-05-01,N,SULLIVAN,"Kingsport-Bristol, TN-VA",Y,Y,Y
186712022,18671,2022,TN0820100,TN0820100,,N,N,,I,BRISTOL,BRISTOL PD,Bristol,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,27862,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,65,4,69,10,14,24,2.7,3.3,1996-07-01,1998-11-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SULLIVAN,"Kingsport-Bristol, TN-VA",Y,Y,Y
186722022,18672,2022,TN0820200,TN0820200,,N,N,,I,KINGSPORT,KINGSPORT PD,Kingsport,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,55799,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,102,8,110,10,29,39,2.0,2.7,1996-07-01,1997-07-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,"HAWKINS, SULLIVAN","Kingsport-Bristol, TN-VA",Y,Y,Y
186732022,18673,2022,TN0820300,TN0820300,,N,N,,I,BLUFF CITY,BLUFF CITY PD,Bluff City,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,City,1820,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,8,0,8,0,0,0,4.4,4.4,1996-07-01,1999-01-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SULLIVAN,"Kingsport-Bristol, TN-VA",Y,Y,Y
186752022,18675,2022,TN0820600,TN0820600,,N,N,,I,DTF:2ND JUDICIAL DISTRIC,SECOND JUDICIAL DIST DRUG TASK FORCE BLOUNTVILL,Drug Task Force:,2nd Judicial District,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,Other,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,1,1,2,0,0,1996-07-01,1999-06-01,2004-06-01,2013-01-01,2015-06-01,2013-04-01,N,SULLIVAN,"Kingsport-Bristol, TN-VA",Y,Y,Y
186762022,18676,2022,TN0820700,TN0820700,,N,N,,I,TRI-CITIES REG AIRPORT,TRI CITIES AIRPORT POLICE DEPARTMENT,Tri-Cities Regional Airport,,A,47,Tennessee,TN,TN,6,East South Central,3,South,Region III,Other,0,23392,TNUCR0001,Tennessee Bureau of Investigation Statistics,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,13,0,13,1,1,2,0,0,1996-07-01,2000-11-01,2004-08-01,2013-08-01,2016-10-01,2013-08-01,N,SULLIVAN,"Kingsport-Bristol, TN-VA",Y,Y,Y
